date,category,amount,description
2026-01-03,Groceries,42.50,Weekly shop
2026-01-05,Transport,15.20,Oyster top-up
2026-01-09,Eating Out,28.00,Dinner with friends
2026-01-12,Groceries,38.75,Weekly shop
2026-01-15,Bills,65.00,Phone and internet
2026-01-18,Transport,15.20,Oyster top-up
2026-01-21,Entertainment,12.99,Cinema
2026-01-24,Groceries,45.10,Weekly shop
2026-01-27,Eating Out,19.50,Lunch
2026-02-01,Rent,950.00,Monthly rent
2026-02-04,Groceries,40.30,Weekly shop
2026-02-08,Transport,20.00,Oyster top-up
2026-02-11,Shopping,55.99,New shoes
2026-02-14,Eating Out,34.00,Dinner
2026-02-18,Groceries,47.60,Weekly shop
